Year,Round,GrandPrix,Country,Driver,Team,GridPosition,Position,Points,Status,MeanLapTime,StdLapTime,PitStops,FirstCompound,StintCount,AirTemp,Rainfall,Humidity,WindSpeed,TrackTemp
2018,4,Azerbaijan Grand Prix,Azerbaijan,HAM,Mercedes,2,1,25,Finished,109.16035,7.914625587,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,RAI,Ferrari,6,2,18,Finished,111.0751463,9.756048807,2,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,PER,Force India,8,3,15,Finished,111.0857805,9.389950544,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,VET,Ferrari,1,4,12,Finished,108.9749,7.260238722,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,SAI,Renault,9,5,10,Finished,111.4448293,9.553626989,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,LEC,Sauber,13,6,8,Finished,111.9013415,10.42022633,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,ALO,McLaren,12,7,6,Finished,112.7745366,14.69077943,2,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,STR,Williams,10,8,4,Finished,111.9709756,10.09842684,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,VAN,McLaren,16,9,2,Finished,114.6648605,10.22183594,4,nan,5,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,HAR,Toro Rosso,19,10,1,Finished,114.0544048,11.14272917,3,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,ERI,Sauber,18,11,0,Finished,118.3267609,17.713719,4,nan,4,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,GAS,Toro Rosso,17,12,0,Finished,113.9166905,9.643140563,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,MAG,Haas F1 Team,15,13,0,Finished,115.5671163,16.85312201,2,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,BOT,Mercedes,3,14,0,Puncture,108.5613784,7.583782391,1,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,GRO,Haas F1 Team,20,15,0,Accident,111.8101351,10.94279696,2,nan,3,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,VER,Red Bull Racing,5,16,0,Collision,109.7467429,8.24274469,1,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,RIC,Red Bull Racing,4,17,0,Collision,109.7274,8.215582394,1,nan,2,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,HUL,Renault,14,18,0,Accident,119.4463333,19.05945193,0,nan,1,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,OCO,Force India,7,19,0,Collision,,,0,ULTRASOFT,1,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,4,Azerbaijan Grand Prix,Azerbaijan,SIR,Williams,11,20,0,Collision,,,0,SUPERSOFT,1,16.66140351,0,45.65175439,2.222807018,25.25175439
2018,5,Spanish Grand Prix,Spain,HAM,Mercedes,1,1,25,Finished,85.75664615,13.90521374,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,BOT,Mercedes,2,2,18,Finished,86.06884615,13.87013322,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,VER,Red Bull Racing,5,3,15,Finished,86.16466154,13.95980533,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,VET,Ferrari,3,4,12,Finished,86.17709231,14.50576506,2,nan,3,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,RIC,Red Bull Racing,6,5,10,Finished,86.51683077,14.21125965,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,MAG,Haas F1 Team,7,6,8,+1 Lap,87.37982812,13.39481256,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,SAI,Renault,9,7,6,+1 Lap,87.95315625,13.40787588,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,ALO,McLaren,8,8,4,+1 Lap,88.0100625,13.42697463,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,PER,Force India,15,9,2,+2 Laps,88.51044444,14.17374587,2,nan,3,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,LEC,Sauber,14,10,1,+2 Laps,88.55585714,13.27332886,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,STR,Williams,18,11,0,+2 Laps,88.66655556,13.47887131,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,HAR,Toro Rosso,20,12,0,+2 Laps,88.85739683,13.86182406,2,nan,3,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,ERI,Sauber,17,13,0,+2 Laps,88.94446032,13.77601254,1,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,SIR,Williams,19,14,0,+3 Laps,91.07001587,16.04544154,3,nan,4,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
2018,5,Spanish Grand Prix,Spain,VAN,McLaren,11,15,0,Gearbox,91.40190909,15.65641182,2,nan,2,16.05047619,0.79047619,52.28666667,1.952380952,32.33904762
